region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
AO,ice,CESM2-LE,sink,Top melt,4603.56,134.11,24.4,23.69,25.11,21.51,18867.85,21401.5
AO,ice,CESM2-LE,sink,Lateral melt,780.55,20.56,4.14,4.03,4.25,3.65,18867.85,21401.5
AO,ice,CESM2-LE,sink,Basal melt,13430.16,259.27,71.18,69.81,72.55,62.75,18867.85,21401.5
AO,ice,NorESM2-LM,source,Snow-to-ice,895.96,30.3,4.37,4.22,4.52,4.19,20653.63,21401.5
AO,ice,NorESM2-LM,source,Open water ice production,4961.83,90.57,24.21,23.77,24.65,23.18,20653.63,21401.5
AO,ice,NorESM2-LM,source,Basal growth,14638.55,207.12,71.42,70.41,72.43,68.4,20653.63,21401.5
AO,ice,NorESM2-LM,source,Residual,157.29,,,,,0.73,20653.63,21401.5
AO,ice,NorESM2-LM,sink,Vapour Exchange,59.15,2.18,0.29,0.28,0.3,0.28,20653.63,21401.5
AO,ice,NorESM2-LM,sink,Top melt,4451.49,95.59,21.55,21.09,22.02,20.8,20653.63,21401.5
AO,ice,NorESM2-LM,sink,Lateral melt,992.8,28.67,4.81,4.67,4.95,4.64,20653.63,21401.5
AO,ice,NorESM2-LM,sink,Basal melt,15150.2,179.02,73.35,72.49,74.22,70.79,20653.63,21401.5
AO,ice,CNRM-CM6-1,source,Snow-to-ice,3031.96,0.0,12.77,12.77,12.77,14.17,24019.82,21401.5
AO,ice,CNRM-CM6-1,source,Open water ice production,3966.64,0.0,16.7,16.7,16.7,18.53,24019.82,21401.5
AO,ice,CNRM-CM6-1,source,Basal growth,16753.1,0.0,70.53,70.53,70.53,78.28,24019.82,21401.5
AO,ice,CNRM-CM6-1,source,Residual,268.12,,,,,1.25,24019.82,21401.5
AO,ice,CNRM-CM6-1,sink,Vapour Exchange,4.67,0.0,0.02,0.02,0.02,0.02,24019.82,21401.5
AO,ice,CNRM-CM6-1,sink,Top melt,2954.84,0.0,12.3,12.3,12.3,13.81,24019.82,21401.5
AO,ice,CNRM-CM6-1,sink,Lateral melt,147.42,0.0,0.61,0.61,0.61,0.69,24019.82,21401.5
AO,ice,CNRM-CM6-1,sink,Basal melt,20912.89,0.0,87.07,87.07,87.07,97.72,24019.82,21401.5
AO,ice,CNRM-ESM2-1,source,Snow-to-ice,2777.24,0.0,12.48,12.48,12.48,12.98,22401.05,21401.5
AO,ice,CNRM-ESM2-1,source,Open water ice production,3893.0,0.0,17.49,17.49,17.49,18.19,22401.05,21401.5
AO,ice,CNRM-ESM2-1,source,Basal growth,15582.57,0.0,70.03,70.03,70.03,72.81,22401.05,21401.5
AO,ice,CNRM-ESM2-1,source,Residual,148.24,,,,,0.69,22401.05,21401.5
AO,ice,CNRM-ESM2-1,sink,Vapour Exchange,4.01,0.0,0.02,0.02,0.02,0.02,22401.05,21401.5
AO,ice,CNRM-ESM2-1,sink,Top melt,2874.27,0.0,12.83,12.83,12.83,13.43,22401.05,21401.5
AO,ice,CNRM-ESM2-1,sink,Lateral melt,124.84,0.0,0.56,0.56,0.56,0.58,22401.05,21401.5
AO,ice,CNRM-ESM2-1,sink,Basal melt,19397.94,0.0,86.59,86.59,86.59,90.64,22401.05,21401.5
AO,ice,IPSL-CM6A-LR,source,Snow-to-ice,972.73,34.02,4.2,4.05,4.34,4.55,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,source,Open water ice production,5875.55,101.16,25.35,24.92,25.79,27.45,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,source,Basal growth,16325.05,294.29,70.45,69.18,71.72,76.28,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,source,Residual,1692.53,,,,,7.91,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,sink,Vapour Exchange,74.51,2.8,0.3,0.29,0.31,0.35,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,sink,Top melt,7189.95,131.84,28.91,28.38,29.45,33.6,24865.86,21401.5
AO,ice,IPSL-CM6A-LR,sink,Basal melt,17601.4,352.32,70.79,69.37,72.2,82.24,24865.86,21401.5
AO,ice,EC-Earth3,source,Snow-to-ice,868.34,42.47,4.16,3.96,4.36,4.06,22513.12,21401.5
AO,ice,EC-Earth3,source,Open water ice production,6749.3,146.77,32.33,31.63,33.03,31.54,22513.12,21401.5
AO,ice,EC-Earth3,source,Basal growth,13259.35,411.02,63.51,61.54,65.48,61.96,22513.12,21401.5
AO,ice,EC-Earth3,source,Residual,1636.12,,,,,7.64,22513.12,21401.5
AO,ice,EC-Earth3,sink,Vapour Exchange,114.86,3.15,0.51,0.5,0.52,0.54,22513.12,21401.5
AO,ice,EC-Earth3,sink,Top melt,4384.94,117.98,19.48,18.95,20.0,20.49,22513.12,21401.5
AO,ice,EC-Earth3,sink,Basal melt,18013.31,490.23,80.01,77.83,82.19,84.17,22513.12,21401.5
