region,budget,model,side,term,flux_Gt_yr,sd_Gt_yr,pct_of_side_total,pct_lo,pct_hi,pct_of_scale_ref,reservoir_Gt_yr,scale_ref_Gt_yr
AO,snow,CESM2-LE,sink,Residual,163.08,,,,,3.38,1852.02,4820.13
AO,snow,NorESM2-LM,source,Snowfall,2105.3,45.41,100.0,97.84,102.16,43.68,2105.3,4820.13
AO,snow,NorESM2-LM,sink,Wind drift,207.17,5.05,12.51,12.21,12.82,4.3,2105.3,4820.13
AO,snow,NorESM2-LM,sink,Snowmelt,1125.89,27.55,68.01,66.34,69.67,23.36,2105.3,4820.13
AO,snow,NorESM2-LM,sink,Snow-to-ice,322.43,10.9,19.48,18.82,20.14,6.69,2105.3,4820.13
AO,snow,NorESM2-LM,sink,Residual,449.82,,,,,9.33,2105.3,4820.13
AO,snow,CNRM-CM6-1,source,Snowfall,2411.9,0.0,100.0,100.0,100.0,50.04,2411.9,4820.13
AO,snow,CNRM-CM6-1,sink,Vapour Exchange,77.31,0.0,3.22,3.22,3.22,1.6,2411.9,4820.13
AO,snow,CNRM-CM6-1,sink,Snowmelt,1629.56,0.0,67.96,67.96,67.96,33.81,2411.9,4820.13
AO,snow,CNRM-CM6-1,sink,Snow-to-ice,690.91,0.0,28.81,28.81,28.81,14.33,2411.9,4820.13
AO,snow,CNRM-CM6-1,sink,Dynamics,0.01,0.0,0.0,0.0,0.0,0.0,2411.9,4820.13
AO,snow,CNRM-CM6-1,sink,Residual,14.1,,,,,0.29,2411.9,4820.13
AO,snow,CNRM-ESM2-1,source,Snowfall,2257.44,0.0,100.0,100.0,100.0,46.83,2258.6,4820.13
AO,snow,CNRM-ESM2-1,source,Residual,1.17,,,,,0.02,2258.6,4820.13
AO,snow,CNRM-ESM2-1,sink,Vapour Exchange,70.12,0.0,3.1,3.1,3.1,1.45,2258.6,4820.13
AO,snow,CNRM-ESM2-1,sink,Snowmelt,1555.83,0.0,68.88,68.88,68.88,32.28,2258.6,4820.13
AO,snow,CNRM-ESM2-1,sink,Snow-to-ice,632.64,0.0,28.01,28.01,28.01,13.13,2258.6,4820.13
AO,snow,CNRM-ESM2-1,sink,Dynamics,0.01,0.0,0.0,0.0,0.0,0.0,2258.6,4820.13
